name,item_id,original_price,price,discount,rating,review,location,seller_name,seller_id,item_sold,item_url,image_url
oraimo - Halo Airy - OEP-650 - Ergonomic Design - Remote Control - Type-C - Wired Earphone,328227925,600.0,396.0,,4.17,719,Dhaka,ORAIMO,700509951064,3.1K,//www.daraz.com.bd/products/oraimo-halo-airy-oep-650-type-c-i328227925.html,https://static-01.daraz.com.bd/p/50b17e4ed12b2b07a0c1977a07653904.jpg
Uiisii C100 Super Bass Stereo In Ear Headphone - Black,174062143,524.0,245.0,,4.43,3679,Dhaka,Time Square,700507455016,19.7K,//www.daraz.com.bd/products/uiisii-c100-super-bass-stereo-in-ear-headphone-black-i174062143.html,https://static-01.daraz.com.bd/p/2b9abf20eb91d3142216583ea1ff1780.jpg
TRN MT1 1DD Dynamic Drivers In-Ear Monitors HIFI Bass-Running Sport-Noise Cancelling Earphone,278706751,1000.0,685.0,,4.37,309,Chattogram,Trendy Buy,700506687011,1.7K,//www.daraz.com.bd/products/trn-mt1-1dd-hifi-i278706751.html,https://static-01.daraz.com.bd/p/5792e9085680cb8bdd8e705a8ba98da4.png
Bluetooth Earphones Wireless Headphones Magnetic Sport Neckband Neck-hanging TWS Earbuds Wireless Blutooth Headset with Mic,399863824,664.0,232.0,,4.45,1897,Overseas,Any 3 Deal,700704640826,15.1K,//www.daraz.com.bd/products/10-tws-i399863824.html,https://bd-live-21.slatic.net/kf/Sc822104932c64657b7ae333089c643fdb.jpg
KZ EDX PRO Dynamic Earphones HIFI Bass Earbuds In Ear Monitor Sport Noise Cancelling Headset,404764023,1594.0,679.0,,5.0,276,Overseas,Any 3 Deal,700704640826,1.6K,//www.daraz.com.bd/products/kz-edx-pro-hifi-i404764023.html,https://bd-live-21.slatic.net/kf/S26bceff2078240179ca79d7febcdab0cu.jpg
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,391387576,310.0,119.0,,4.67,9,Dhaka,Magura Online Shop One,700711504479,64,//www.daraz.com.bd/products/vivo-i391387576.html,https://static-01.daraz.com.bd/p/7dead8c546e1f811c2392e2293c1fb43.png
Music U19 Earphone Colorful Matte Earbuds Stereo Wired Earphones with Microphone,327771308,120.0,50.0,,4.58,81,Dhaka,Ayat gadget,700563776511,788,//www.daraz.com.bd/products/u19-i327771308.html,https://static-01.daraz.com.bd/p/b6f4a25ab7c41e254c58fe023b30af44.jpg
Baseus H19 6D Stereo Bass Headphone In-Ear 3.5mm Audio Jack Wired Headset with MIC Noise Reduction Stereo Earbuds Earphones for Samsung Xiaomi ViVO OPPO latop,353011257,909.0,699.0,,4.45,177,Dhaka,Baseus Official Store,700630368887,1.1K,//www.daraz.com.bd/products/samsung-xiaomi-vivo-oppo-latop-baseus-h19-6d-35mm-i353011257.html,https://static-01.daraz.com.bd/p/f231de907afbf3142664a84cdba7a4a2.jpg
M10 TWS Earphone 9D Stereo LED Digital Display Touch CVC8.0 Digital Noise Reduction Technology - Headphone - Headphone - Ear Phone - Earphone,260293647,999.0,367.0,,3.93,108,Dhaka,Sneha Shop,700519341651,1.1K,//www.daraz.com.bd/products/m10-tws-earphone-9d-stereo-led-digital-display-touch-cvc80-digital-noise-reduction-technology-headphone-headphone-ear-phone-earphone-i260293647.html,https://static-01.daraz.com.bd/p/ffbc307c256f62f8af1e89eda60e461f.jpg
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,209982865,350.0,159.0,,4.08,881,Dhaka,Rimjhim Shop,700508532486,8.1K,//www.daraz.com.bd/products/ep-530-i209982865.html,https://static-01.daraz.com.bd/p/2cf16fe5d35f1afd67c5b5ae90d12d42.jpg
Original X15pro TWS Wireless Headphones Game Bluetooth Headphones with Microphones Noise Reduction High Fidelity Bass Earphones,394480729,986.0,347.0,,4.0,56,Overseas,Any 3 Deal,700704640826,606,//www.daraz.com.bd/products/x15pro-tws-i394480729.html,https://bd-live-21.slatic.net/kf/S937d5ec00d924916b2002291e92f9e1fD.jpg
Original  KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones,336027540,1000.0,371.0,,4.62,61,Dhaka,MOCHO-E,700539906061,402,//www.daraz.com.bd/products/kz-hd9-hifi-i336027540.html,https://static-01.daraz.com.bd/p/b01b40ec9993a0da8f0152269b5b46c1.jpg
Wire Control Headset for Smartphone 3.5mm In-ear Wired Microphone Volume Control Headset Earphone - Headphone,225594085,280.0,105.0,,3.96,642,Dhaka,Meghla Shop,700505022134,6.0K,//www.daraz.com.bd/products/wire-control-headset-for-smartphone-35mm-in-ear-wired-microphone-volume-control-headset-earphone-headphone-i225594085.html,https://static-01.daraz.com.bd/p/a8fc8e571cd4ab474cd53a4081378cc3.jpg
"QKZ DM 9 Zinc Alloy Hifi Earphones Gaming High Stereo Bus Sound In Ear Earphones,magnetic earphones(Original)",333632417,899.0,328.0,,4.29,164,Dhaka,R Brothers,700573728466,818,//www.daraz.com.bd/products/qkz-dm-9-hifi-i333632417.html,https://static-01.daraz.com.bd/p/13f8e9904979e3aa4891470bd4af7007.jpg
Xiaomi Mi in-Ear Headphones Basic (Black),275435,599.0,499.0,,4.53,2319,Dhaka,Smart Gadget Home,5406,10.9K,//www.daraz.com.bd/products/xiaomi-mi-in-ear-headphones-basic-black-i275435.html,https://static-01.daraz.com.bd/p/c1fcf5ed4710496782a009a7bdeaab71.jpg
Original TWS M90 Wireless Headphones Sliding Cover Gaming Earphone Bluetooth 5.3 Sport Earbuds Music Headsets For Iphone Xiaomi,402251337,1348.0,557.0,,5.0,62,Overseas,Any 3 Deal,700704640826,627,//www.daraz.com.bd/products/iphone-xiaomi-briame-tws-m90-53-i402251337.html,https://bd-live-21.slatic.net/kf/S366c85ccc5074cd589a47890e8894a27z.jpg
Wireless Bluetooth Headset Single Ear Earplugs Ultra Long Battery Life Business Earphones Mobile Phone Headphones Earbuds Mono,404735956,544.0,190.0,,3.0,17,Overseas,Any 3 Deal,700704640826,234,//www.daraz.com.bd/products/-i404735956.html,https://bd-live-21.slatic.net/kf/Sd10ac1eddf3041bd8e8c731248fcc470C.jpg
Remax Rm 510 In-Ear Earphone With Metal Box - Headphone,200496649,350.0,195.0,,4.15,286,Dhaka,GADGET CORNER CHATTOGRAM (CTG),700508805775,1.5K,//www.daraz.com.bd/products/remax-rm-510-in-ear-earphone-with-metal-box-headphone-i200496649.html,https://static-01.daraz.com.bd/p/1b08216afbb7c9f1cd312e5e40eb6e79.jpg
Remax Rm 512 In-Ear Wired High Performance With Metal Box Earphone - Black- Red-Headphone - unique headphone - Bass Stereo -with Mic wire control,364715353,160.0,124.0,,4.14,35,Dhaka,Pixel Palace,700680672499,398,//www.daraz.com.bd/products/remax-rm-512-i364715353.html,https://bd-live-21.slatic.net/kf/Sa41860a383a24ecca3b3b073879d882aw.jpg
QKZ DM10 Zinc Alloy HiFi Earphone  Sports Headset Phone/Laptop Gaming Earphone(null) - Headphone - Ear Phone - Earphone,326349651,800.0,229.0,,4.92,12,Dhaka,Gadget Mix house,700592240262,131,//www.daraz.com.bd/products/qkz-dm10-hifi-i326349651.html,https://static-01.daraz.com.bd/p/81df8d6bee3c11e0b15bcf08bcde8fda.jpg
Realme Stereo Wired Earphone RMA101,223346343,120.0,49.0,,3.68,353,Dhaka,Genuine Collection,700508328787,3.8K,//www.daraz.com.bd/products/realme-rma101-i223346343.html,https://static-01.daraz.com.bd/p/3d696a62e8cfeb1c26e9e33f266362a9.jpg
Honor Original Handfree / Earphones 3.5mm With Mic For Android Mobile,393253343,200.0,69.0,,0.0,0,Dhaka,Huba Store,700659696049,41,//www.daraz.com.bd/products/35mm-i393253343.html,https://bd-live-21.slatic.net/kf/Sdb3ad54843e64b45b7cf6f34e99f1381o.jpg
DM10 QKZ DM10 Zinc Alloy HiFi In Ear Earphones QKZ DM10 3.5mm Wired In-Ear Earphone- Dreamy DeaLs,324112852,240.0,182.0,,4.05,800,Dhaka,Dreamy Deals,700535268785,5.3K,//www.daraz.com.bd/products/dm10-qkz-dm10-hifi-qkz-dm10-35mm-dreamy-deals-i324112852.html,https://static-01.daraz.com.bd/p/ff8692e7e6a6ae0365d7f8f9a12953e8.jpg
Wireless Noise Reduction HQ High Quality TWS Earphone M25 In-ear Type-C LED Display Recharge Earphone Headphone,400207714,1316.0,559.0,,0.0,39,Overseas,Any 3 Deal,700704640826,434,//www.daraz.com.bd/products/tws-m25-i400207714.html,https://bd-live-21.slatic.net/kf/Sf96cd5127f904a9691e8cf7e782b650e3.jpg
G30 Gaming Earphone Noise Reduction 3.5mm Gaming Headset with Microphone,195481747,1200.0,399.0,,4.31,595,Dhaka,Gadgetology,700508793908,5.0K,//www.daraz.com.bd/products/g30-35mm-i195481747.html,https://static-01.daraz.com.bd/p/468d69f6bd1e06dda49c048bb0a2fd6c.png
QKZ DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black - Headphone,258979742,795.0,410.0,,4.15,255,Dhaka,Trendy Tech.,700512036671,1.3K,//www.daraz.com.bd/products/qkz-dm7-zinc-alloy-hifi-super-bass-in-ear-earphones-black-headphone-i258979742.html,https://static-01.daraz.com.bd/p/03d3079733503adf8d6a9b2d8d6c39da.jpg
Earphone for girls Cute earphone for girls earphone for gift best gift,364570283,400.0,300.0,,4.33,18,Dhaka,Al Ikra,700685424480,140,//www.daraz.com.bd/products/-i364570283.html,https://static-01.daraz.com.bd/p/6ac0612e5b70e76ed58e3161bfd2fdae.jpg
9D HIFI Heavy Bass In Ear Earphone 3.5MM AUX/Type-C Digital Headphone Stereo Wired Headset With Mic Earbuds For Samsung Android,399622913,574.0,201.0,,4.2,13,Overseas,Any 3 Deal,700704640826,178,//www.daraz.com.bd/products/vikefon-9d-hifi-i399622913.html,https://bd-live-21.slatic.net/kf/S4620eb8cf62c4d848a7c6b28cc52068fy.jpg
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,391017933,320.0,111.0,,3.67,3,Dhaka,Magura Online Shop Two,700711664462,61,//www.daraz.com.bd/products/vivo-i391017933.html,https://static-01.daraz.com.bd/p/7dead8c546e1f811c2392e2293c1fb43.png
REMAX RM-510 High Performance Earphones REMAX RM 510 Wired Earphone Remax RM 510 Wired In-ear Stereo Music Headset with Mic wire control function,325913592,700.0,299.0,,4.0,85,Dhaka,Trendio,700541172150,737,//www.daraz.com.bd/products/remax-rm-510-remax-rm-510-remax-rm-510-i325913592.html,https://static-01.daraz.com.bd/p/fb59efb8c086b929b1edb9dc8d533d91.jpg
UiiSii HM13 Wired Noise Cancelling Dynamic Heavy Bass Music Metal In-ear with Mic Earphone - Ear Phone - Headphone - Headphone - Headphone - Ear Phone - Earphone,123806256,500.0,375.0,,4.32,148,Dhaka,Gadget Biz,1025938,1.1K,//www.daraz.com.bd/products/uiisii-hm13-wired-noise-cancelling-dynamic-heavy-bass-music-metal-in-ear-with-mic-earphone-ear-phone-headphone-headphone-headphone-ear-phone-earphone-i123806256.html,https://static-01.daraz.com.bd/p/1470e5037c81d0ad147ba3a576a1fb40.jpg
Realme Stereo Wired Earphone RMA101,391634976,140.0,43.0,,3.76,21,Dhaka,Magura Online Shop Eleven,700531344889,589,//www.daraz.com.bd/products/realme-rma101-i391634976.html,https://static-01.daraz.com.bd/p/af761cf20c41a0e8226769f3b7f2ace9.png
Remax Rm 510 Wired High Performance Earphones - Headphone,104846274,675.0,370.0,,4.53,2808,Dhaka,Gadgets Lab,6024,14.7K,//www.daraz.com.bd/products/remax-rm-510-wired-high-performance-earphones-headphone-i104846274.html,https://static-01.daraz.com.bd/p/e6826c9685911bea74a01b4cb543b31e.jpg
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,215349589,270.0,119.0,,3.99,914,Dhaka,Prima Store,700509744001,5.2K,//www.daraz.com.bd/products/vivo-in-year-yearphone-is-the-best-sound-quality-white-with-free-one-emphasizing-value-i215349589.html,https://static-01.daraz.com.bd/p/ea974ce2b124f6d82b61a45ff60e4ed8.jpg
Cute Cartoon Rabbit Wired Earphone Headphone With Microphone for Girls H,363651154,400.0,300.0,,4.59,44,Dhaka,Tech Tornado,700663472332,316,//www.daraz.com.bd/products/h-i363651154.html,https://static-01.daraz.com.bd/p/d51de16f2d0e9be2ce582c00169322dc.png
uiisii hm 12 clear music and gaming earphone ( havy duty),393738471,400.0,187.0,,5.0,1,Dhaka,Magura Online Shop One,700711504479,84,//www.daraz.com.bd/products/uiisii-hm-12-i393738471.html,https://static-01.daraz.com.bd/p/d486f1f62fd8f8e5567b5e68a3296e5c.png
oraimo - Halo Airy - OEP-650 - Ergonomic Design - Remote Control - Type-C - Wired Earphone,328227925,600.0,396.0,,4.17,719,Dhaka,ORAIMO,700509951064,3.1K,//www.daraz.com.bd/products/oraimo-halo-airy-oep-650-type-c-i328227925.html,https://static-01.daraz.com.bd/p/50b17e4ed12b2b07a0c1977a07653904.jpg
TRN MT1 1DD Dynamic Drivers In-Ear Monitors HIFI Bass-Running Sport-Noise Cancelling Earphone,278706751,1000.0,685.0,,4.37,309,Chattogram,Trendy Buy,700506687011,1.7K,//www.daraz.com.bd/products/trn-mt1-1dd-hifi-i278706751.html,https://static-01.daraz.com.bd/p/5792e9085680cb8bdd8e705a8ba98da4.png
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,391387576,310.0,119.0,,4.67,9,Dhaka,Magura Online Shop One,700711504479,64,//www.daraz.com.bd/products/vivo-i391387576.html,https://static-01.daraz.com.bd/p/7dead8c546e1f811c2392e2293c1fb43.png
Music U19 Earphone Colorful Matte Earbuds Stereo Wired Earphones with Microphone,327771308,120.0,50.0,,4.58,81,Dhaka,Ayat gadget,700563776511,788,//www.daraz.com.bd/products/u19-i327771308.html,https://static-01.daraz.com.bd/p/b6f4a25ab7c41e254c58fe023b30af44.jpg
M10 TWS Earphone 9D Stereo LED Digital Display Touch CVC8.0 Digital Noise Reduction Technology - Headphone - Headphone - Ear Phone - Earphone,260293647,999.0,367.0,,3.93,108,Dhaka,Sneha Shop,700519341651,1.1K,//www.daraz.com.bd/products/m10-tws-earphone-9d-stereo-led-digital-display-touch-cvc80-digital-noise-reduction-technology-headphone-headphone-ear-phone-earphone-i260293647.html,https://static-01.daraz.com.bd/p/ffbc307c256f62f8af1e89eda60e461f.jpg
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,209982865,350.0,159.0,,4.08,881,Dhaka,Rimjhim Shop,700508532486,8.1K,//www.daraz.com.bd/products/ep-530-i209982865.html,https://static-01.daraz.com.bd/p/2cf16fe5d35f1afd67c5b5ae90d12d42.jpg
Original  KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones,336027540,1000.0,371.0,,4.62,61,Dhaka,MOCHO-E,700539906061,402,//www.daraz.com.bd/products/kz-hd9-hifi-i336027540.html,https://static-01.daraz.com.bd/p/b01b40ec9993a0da8f0152269b5b46c1.jpg
Wire Control Headset for Smartphone 3.5mm In-ear Wired Microphone Volume Control Headset Earphone - Headphone,225594085,280.0,105.0,,3.96,642,Dhaka,Meghla Shop,700505022134,6.0K,//www.daraz.com.bd/products/wire-control-headset-for-smartphone-35mm-in-ear-wired-microphone-volume-control-headset-earphone-headphone-i225594085.html,https://static-01.daraz.com.bd/p/a8fc8e571cd4ab474cd53a4081378cc3.jpg
"QKZ DM 9 Zinc Alloy Hifi Earphones Gaming High Stereo Bus Sound In Ear Earphones,magnetic earphones(Original)",333632417,899.0,328.0,,4.29,164,Dhaka,R Brothers,700573728466,818,//www.daraz.com.bd/products/qkz-dm-9-hifi-i333632417.html,https://static-01.daraz.com.bd/p/13f8e9904979e3aa4891470bd4af7007.jpg
Remax Rm 510 In-Ear Earphone With Metal Box - Headphone,200496649,350.0,195.0,,4.15,286,Dhaka,GADGET CORNER CHATTOGRAM (CTG),700508805775,1.5K,//www.daraz.com.bd/products/remax-rm-510-in-ear-earphone-with-metal-box-headphone-i200496649.html,https://static-01.daraz.com.bd/p/1b08216afbb7c9f1cd312e5e40eb6e79.jpg
Remax Rm 512 In-Ear Wired High Performance With Metal Box Earphone - Black- Red-Headphone - unique headphone - Bass Stereo -with Mic wire control,364715353,160.0,124.0,,4.14,35,Dhaka,Pixel Palace,700680672499,398,//www.daraz.com.bd/products/remax-rm-512-i364715353.html,https://bd-live-21.slatic.net/kf/Sa41860a383a24ecca3b3b073879d882aw.jpg
QKZ DM10 Zinc Alloy HiFi Earphone  Sports Headset Phone/Laptop Gaming Earphone(null) - Headphone - Ear Phone - Earphone,326349651,800.0,229.0,,4.92,12,Dhaka,Gadget Mix house,700592240262,131,//www.daraz.com.bd/products/qkz-dm10-hifi-i326349651.html,https://static-01.daraz.com.bd/p/81df8d6bee3c11e0b15bcf08bcde8fda.jpg
Realme Stereo Wired Earphone RMA101,223346343,120.0,49.0,,3.68,353,Dhaka,Genuine Collection,700508328787,3.8K,//www.daraz.com.bd/products/realme-rma101-i223346343.html,https://static-01.daraz.com.bd/p/3d696a62e8cfeb1c26e9e33f266362a9.jpg
Honor Original Handfree / Earphones 3.5mm With Mic For Android Mobile,393253343,200.0,69.0,,0.0,0,Dhaka,Huba Store,700659696049,41,//www.daraz.com.bd/products/35mm-i393253343.html,https://bd-live-21.slatic.net/kf/Sdb3ad54843e64b45b7cf6f34e99f1381o.jpg
G30 Gaming Earphone Noise Reduction 3.5mm Gaming Headset with Microphone,195481747,1200.0,399.0,,4.31,595,Dhaka,Gadgetology,700508793908,5.0K,//www.daraz.com.bd/products/g30-35mm-i195481747.html,https://static-01.daraz.com.bd/p/468d69f6bd1e06dda49c048bb0a2fd6c.png
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,391017933,320.0,111.0,,3.67,3,Dhaka,Magura Online Shop Two,700711664462,61,//www.daraz.com.bd/products/vivo-i391017933.html,https://static-01.daraz.com.bd/p/7dead8c546e1f811c2392e2293c1fb43.png
Dual-action Coil Dual-speaker Headset with Mic Wired In-ear Earphone,343698092,399.0,138.0,,4.19,42,Mymensingh,A Zannat e-Sheba,700556901575,582,//www.daraz.com.bd/products/-i343698092.html,https://static-01.daraz.com.bd/p/1ac7faca340b9f7de57566149e6e8dc7.jpg
Wire Control Headset for Smartphone 3.5mm In-ear Wired Microphone Volume Control Headset Earphone - Headphone-Black,393688204,200.0,110.0,,0.0,0,Dhaka,Samir_Enterprise_BD,700545585881,24,//www.daraz.com.bd/products/35mm-i393688204.html,https://static-01.daraz.com.bd/p/b6a805d50ce95b12a6a9b75da50de147.png
Cute Cartoon Rabbit Wired Earphone With Microphone For Girls - Headphone - Headphone,259844933,800.0,330.0,,4.2,623,Dhaka,Villagie Store,700519308702,3.3K,//www.daraz.com.bd/products/cute-cartoon-rabbit-wired-earphone-with-microphone-for-girls-headphone-headphone-i259844933.html,https://static-01.daraz.com.bd/p/ecaa1002f6b3d13db588c6524fa73069.jpg
G6 G9 G20 Gaming Earphone For Pubg PS4 CSGO Casque Games Headset 7.1 With Mic Volume Control PC Gamer Earphones,239532922,790.0,550.0,,4.39,77,Dhaka,Guoran Leer,1037743,530,//www.daraz.com.bd/products/pubg-ps4-csgo-g6-g9-g20-71-i239532922.html,https://static-01.daraz.com.bd/p/a42ae9edd12fadb161a40f121562bc40.jpg
MKB M-60 Earphones,394921828,290.0,190.0,,0.0,0,Dhaka,Apearis,700579552052,6,//www.daraz.com.bd/products/mkb-m-60-i394921828.html,https://static-01.daraz.com.bd/p/13e3a759d957126e84b96fcf912ecca3.jpg
Super bass In-ear earpiece earphones for all brands Compatible with,389882565,-1.0,119.0,,0.0,0,Dhaka,Shamim store Dhaka,700694976024,26,//www.daraz.com.bd/products/-i389882565.html,https://static-01.daraz.com.bd/p/5386f64692cd82f5458b8b06d838da1b.jpg
Remax Rm-711 ওয়্যার কন্ট্রোলড ইয়ারপ্লাগ টাইপ ইয়ারফোন(Null) - Headphone,213786085,350.0,215.0,,3.91,158,Chattogram,GADGET CORNER CHATTOGRAM (CTG),700508805775,839,//www.daraz.com.bd/products/remax-rm-711-null-headphone-i213786085.html,https://static-01.daraz.com.bd/p/bbc74e3402c27e120b9986d158cb909e.jpg
UGREEN Aux Earbuds Earphones 3.5mm Handsfree Wired Headphones Volume Control Noise Isolating Stereo Sound with Microphone For Android MP3 MP4 Pad,183427192,2599.0,1859.0,,4.5,499,Dhaka,UGREEN,700507857246,1.5K,//www.daraz.com.bd/products/mp3-mp4-ugreen-aux-35mm-i183427192.html,https://static-01.daraz.com.bd/p/28695423173794647813eec6940f2bbf.jpg
Earphone One_Plus With Mic Deep Bass For All Android Smartphone - Headphone,234037167,180.0,65.0,,3.4,188,Dhaka,Meghla Shop,700505022134,2.2K,//www.daraz.com.bd/products/one_plus-i234037167.html,https://static-01.daraz.com.bd/p/d6db17e44a3a4b983506648397bfeed9.jpg
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,391650362,280.0,111.0,,0.0,0,Dhaka,Magura Online Shop Eleven,700531344889,11,//www.daraz.com.bd/products/vivo-i391650362.html,https://static-01.daraz.com.bd/p/7dead8c546e1f811c2392e2293c1fb43.png
Realme Stereo Wired Earphone RMA101,391471964,100.0,43.0,,3.0,1,Dhaka,Magura Online Shop Twelve,700560531153,15,//www.daraz.com.bd/products/realme-rma101-i391471964.html,https://static-01.daraz.com.bd/p/bd26834ade8a18f542559521978b2b29.png
REMAX RM-510 High Performance Earphones REMAX RM 510 Wired Earphone Remax RM 510 Wired In-ear Stereo Music Headset with Mic wire control function,391056636,600.0,182.0,,0.0,0,Dhaka,Magura Online Shop One,700711504479,11,//www.daraz.com.bd/products/remax-rm-510-remax-rm-510-remax-rm-510-i391056636.html,https://static-01.daraz.com.bd/p/7fbe39b678291a55df66bc29fa6934b3.png
QKZ DM10 Zinc Alloy HiFi Earphone In Ear Earphone,389234044,350.0,199.0,,4.0,1,Dhaka,SM GADGET HOME,700705168342,9,//www.daraz.com.bd/products/qkz-dm10-hifi-i389234044.html,https://static-01.daraz.com.bd/p/8fae0389132b04a7fb12c566e5120793.jpg
DM10 - In-Ear Earphone - Black - Headphone - Headphone,386602548,400.0,195.0,,0.0,0,Dhaka,Zian shop,700698464082,19,//www.daraz.com.bd/products/dm10-i386602548.html,https://static-01.daraz.com.bd/p/d8e4cc488e5dc9cd2b4f53fab8e42b72.png
REMAX RM 510 Wired Earphone new unique headphone black,391408181,370.0,175.0,,0.0,0,Dhaka,Magura Online Shop One,700711504479,0,//www.daraz.com.bd/products/remax-rm-510-i391408181.html,https://static-01.daraz.com.bd/p/f5002aecb9bc5ad9b117f98b3f731f25.png
"QKZ DM 9 Zinc Alloy Hifi Earphones Gaming High Stereo Bus Sound In Ear Earphones,magnetic earphones(Original)",391441484,500.0,280.0,,3.33,3,Dhaka,Magura Online Shop Twelve,700560531153,44,//www.daraz.com.bd/products/qkz-dm-9-hifi-i391441484.html,https://static-01.daraz.com.bd/p/024431bed55fd492ac960561e4ead190.png
Creative High Bass Audio Earphone with Pouch EP-530 Orignal Premium -(Black),392943524,300.0,148.0,,0.0,0,Dhaka,KS Enterprise BD,700644128896,0,//www.daraz.com.bd/products/ep-530-i392943524.html,https://static-01.daraz.com.bd/p/5fa66167b6a5ad9573569782b1c5c3f2.jpg
Creative High Bass Audio Earphone with Pouch EP-530 Orignal Premium -(Black),392939887,300.0,148.0,,0.0,0,Dhaka,Kazi Gadgets Store,700530657292,7,//www.daraz.com.bd/products/ep-530-i392939887.html,https://static-01.daraz.com.bd/p/de81480c0673a0c55cc22d9fa5813c4d.jpg
REMAX RM 510 Wired Earphone new unique headphone black,391035270,700.0,185.0,,3.0,1,Dhaka,Magura Online Shop Two,700711664462,8,//www.daraz.com.bd/products/remax-rm-510-i391035270.html,https://static-01.daraz.com.bd/p/f5002aecb9bc5ad9b117f98b3f731f25.png
Realme Earphone RMA101 Buy 1 Get 1 Free,337935355,300.0,95.0,,3.67,72,Dhaka,SFS WORLD,700634192209,571,//www.daraz.com.bd/products/realme-rma101-1-1-i337935355.html,https://static-01.daraz.com.bd/p/4edb77840d2577a64391adae92059a87.jpg
